Serial_Number,Country_Region,Date_FirstFatality,Date_FirstConfirmedCase,Lockdown_Date,Lockdown_Type,Latitude,Tourism,Population_Size,Mean_Age,Longtitude
1,Afghanistan,2020-03-23 00:00:00,2020-02-25 00:00:00,2020-03-24 00:00:00.000,Full,33.93911,NaN,37172386,NaN,67.709953
2,Albania,2020-03-12 00:00:00,2020-03-10 00:00:00,2020-03-08 00:00:00.000,Full,41.153332,NaN,2866376,NaN,NaN
3,Algeria,2020-03-13 00:00:00,2020-02-26 00:00:00,2020-03-24 00:00:00.000,Full,28.033886,2657000,42228429,27.5,1.659626
4,Andorra,2020-03-23 00:00:00,2020-03-03 00:00:00,2020-03-16 00:00:00.000,Full,42.546245,3042000,NaN,37,1.601554
5,Argentina,2020-03-09 00:00:00,2020-03-04 00:00:00,2020-03-20 00:00:00.000,Full,-38.416097,6942000,44494502,30.8,NaN
6,Armenia,2020-03-27 00:00:00,2020-03-02 00:00:00,2020-03-24 00:00:00.000,Full,NaN,1652000,2951776,33.9,NaN
7,Australia,2020-03-02 00:00:00,2020-01-26 00:00:00,2020-03-25 00:00:00.000,Partial,-25.274398,9246000,24982688,37.4,133.775136
8,Austria,2020-03-13 00:00:00,2020-02-26 00:00:00,2020-03-16 00:00:00.000,Full,47.516231,NaN,8840521,NaN,14.550072
9,Azerbaijan,2020-03-14 00:00:00,2020-03-02 00:00:00,2020-03-02 00:00:00.000,Full,40.143105,2633000,9939800,30.3,NaN
10,Bahamas,2020-04-02 00:00:00,2020-03-17 00:00:00,2020-04-17 00:00:00.000,,25.03428,14000,385640,32.5,-77.39628
11,Bahrain,2020-03-17 00:00:00,2020-02-25 00:00:00,2020-02-25 00:00:00.000,Full,25.930414,12045000,NaN,31.2,NaN
12,Bangladesh,2020-03-19 00:00:00,2020-03-09 00:00:00,2020-03-19 00:00:00.000,,23.684994,14000,NaN,25.6,90.356331
13,Barbados,2020-04-06 00:00:00,2020-03-18 00:00:00,2020-03-28 00:00:00.000,,13.193887,680000,NaN,38.5,NaN
14,Belarus,2020-04-01 00:00:00,2020-02-29 00:00:00,2020-04-07 00:00:00.000,,NaN,11501600,NaN,NaN,27.953389
15,Belgium,2020-03-12 00:00:00,2020-02-05 00:00:00,2020-03-17 00:00:00.000,Full,50.503887,9119000,NaN,NaN,NaN
16,Belize,2020-04-07 00:00:00,2020-03-24 00:00:00,2020-04-16 00:00:00.000,Full,NaN,489000,NaN,23.5,-88.49765
17,Bolivia,2020-03-30 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00.000,Full,NaN,1142000,NaN,NaN,-63.588653
18,Bosnia and Herzegovina,2020-03-22 00:00:00,2020-03-06 00:00:00,2020-03-11 00:00:00.000,,43.915886,NaN,3323929,41,NaN
19,Botswana,2020-04-01 00:00:00,2020-03-31 00:00:00,2020-04-02 00:00:00.000,Partial,-22.328474,14000,NaN,24.4,NaN
20,Brazil,2020-03-18 00:00:00,2020-02-27 00:00:00,2020-03-17 00:00:00.000,Partial,-14.235004,6621000,209469333,31.3,-51.92528
21,Bulgaria,2020-03-12 00:00:00,2020-03-09 00:00:00,2020-03-13 00:00:00.000,,42.733883,NaN,7025037,43.5,25.48583
22,Burkina Faso,2020-03-19 00:00:00,2020-03-11 00:00:00,2020-03-21 00:00:00.000,,12.238333,144000,19751535,17,NaN
23,Canada,2020-03-10 00:00:00,2020-01-27 00:00:00,2020-03-16 00:00:00.000,Partial,56.130366,21134000,37057765,40.5,-106.346771
24,Chile,2020-03-23 00:00:00,2020-03-04 00:00:00,2020-03-26 00:00:00.000,Full,-35.675147,5723000,18729160,33.7,NaN
25,China,2020-01-23 00:00:00,2020-01-22 00:00:00,2020-01-23 00:00:00.000,Full,35.86166,NaN,1392730000,NaN,NaN
26,Colombia,2020-03-23 00:00:00,2020-03-07 00:00:00,2020-03-25 00:00:00.000,Full,4.570868,3904000,NaN,30.1,NaN
27,Congo (Brazzaville),2020-04-03 00:00:00,2020-03-16 00:00:00,2020-03-28 00:00:00.000,Partial,-4.521666,156000,NaN,37,21.964255
28,Congo (Kinshasa),2020-03-22 00:00:00,2020-03-12 00:00:00,2020-03-31 00:00:00.000,Full,NaN,14000,84068091,37,NaN
29,Costa Rica,2020-03-20 00:00:00,2020-03-07 00:00:00,2020-03-15 00:00:00.000,Full,9.748917,NaN,4999441,NaN,NaN
30,Croatia,2020-03-20 00:00:00,2020-02-26 00:00:00,2020-03-22 00:00:00.000,Partial,NaN,16645000,NaN,42.6,NaN
31,Cuba,2020-03-19 00:00:00,2020-03-13 00:00:00,2020-03-23 00:00:00.000,Full,21.521757,4684000,11338138,41.1,-77.781167
32,Cyprus,2020-03-23 00:00:00,2020-03-10 00:00:00,2020-03-25 00:00:00.000,Full,35.126413,NaN,1189265,34.9,NaN
33,Czechia,2020-03-23 00:00:00,2020-03-02 00:00:00,2020-03-16 00:00:00.000,Full,NaN,NaN,10065000,NaN,15.473
34,Denmark,2020-03-15 00:00:00,2020-02-28 00:00:00,2020-03-11 00:00:00.000,Full,56.26392,12749000,NaN,41.6,NaN
35,Djibouti,2020-04-11 00:00:00,2020-03-19 00:00:00,2020-03-23 00:00:00.000,Full,11.825138,14000,958920,23.7,42.590275
36,Dominican Republic,2020-03-18 00:00:00,2020-03-02 00:00:00,2020-03-17 00:00:00.000,Full,NaN,6569000,10627165,26.1,-70.162651
37,Ecuador,2020-03-15 00:00:00,2020-03-02 00:00:00,2020-03-24 00:00:00.000,Partial,-1.831239,2535000,17084357,26.6,NaN
38,Egypt,2020-03-09 00:00:00,2020-02-15 00:00:00,2020-03-24 00:00:00.000,,26.820553,11196000,98423595,NaN,NaN
39,El Salvador,2020-04-01 00:00:00,2020-03-20 00:00:00,2020-03-12 00:00:00.000,Full,13.794185,1677300,6420744,NaN,NaN
40,Equatorial Guinea,2020-04-23 00:00:00,2020-03-16 00:00:00,2020-03-22 00:00:00.000,Full,1.650801,14000,1308974,22.2,10.267895
41,Estonia,2020-03-26 00:00:00,2020-02-28 00:00:00,2020-03-13 00:00:00.000,Full,NaN,3234000,NaN,NaN,25.013607
42,Eswatini,2020-04-17 00:00:00,2020-03-15 00:00:00,2020-03-27 00:00:00.000,Partial,-26.5179414,782000,NaN,37,31.4659
43,Ethiopia,2020-04-06 00:00:00,2020-03-14 00:00:00,2020-03-16 00:00:00.000,,9.145,849000,109224559,18.6,40.489673
44,Finland,2020-03-22 00:00:00,2020-01-30 00:00:00,2020-03-27 00:00:00.000,Full,61.92411,3224000,5515525,42.5,25.748151
45,France,2020-02-16 00:00:00,2020-01-25 00:00:00,2020-03-16 00:00:00.000,Full,46.227638,89322000,NaN,41.2,2.213749
46,Gabon,2020-03-21 00:00:00,2020-03-15 00:00:00,2020-04-13 00:00:00.000,Partial,-0.803689,14000,2119275,22.6,NaN
47,Georgia,2020-04-05 00:00:00,2020-02-27 00:00:00,2020-03-22 00:00:00.000,Partial,42.315407,4757000,NaN,38,NaN
49,Ghana,2020-03-22 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00.000,Full,7.946527,NaN,29767108,NaN,-1.023194
50,Greece,2020-03-12 00:00:00,2020-02-27 00:00:00,2020-03-18 00:00:00.000,Full,39.074208,30123000,NaN,NaN,NaN
51,Honduras,2020-03-27 00:00:00,2020-03-12 00:00:00,2020-03-20 00:00:00.000,,15.199999,NaN,9587522,NaN,NaN
52,Hungary,2020-03-16 00:00:00,2020-03-05 00:00:00,2020-03-16 00:00:00.000,Full,47.162494,17552000,NaN,NaN,19.503304
53,Iceland,2020-03-17 00:00:00,2020-02-29 00:00:00,2020-03-16 00:00:00.000,,64.963051,NaN,352721,36,NaN
54,India,2020-03-12 00:00:00,2020-01-31 00:00:00,2020-03-24 00:00:00.000,Full,NaN,NaN,1352617328,NaN,78.96288
55,Indonesia,2020-03-12 00:00:00,2020-03-03 00:00:00,2020-04-10 00:00:00.000,Partial,-0.789275,15810000,NaN,28,NaN
57,Iraq,2020-03-05 00:00:00,2020-02-25 00:00:00,2020-03-22 00:00:00.000,Full,33.223191,14000,38433600,19.4,43.679291
58,Ireland,2020-03-12 00:00:00,2020-03-01 00:00:00,2020-03-12 00:00:00.000,Full,53.41291,10926000,NaN,36.9,NaN
59,Israel,2020-03-22 00:00:00,2020-02-22 00:00:00,2020-03-12 00:00:00.000,,31.046051,4121000,8882800,30.2,NaN
61,Jamaica,2020-03-20 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00.000,Full,18.109581,2473000,2934855,29.4,-77.297508
63,Jordan,2020-03-28 00:00:00,2020-03-04 00:00:00,2020-03-21 00:00:00.000,Full,30.585164,4150000,9956011,22.1,NaN
64,Kazakhstan,2020-03-26 00:00:00,2020-03-14 00:00:00,2020-03-19 00:00:00.000,Partial,NaN,8789000,18272430,29.3,NaN
65,Kenya,2020-03-27 00:00:00,2020-03-14 00:00:00,2020-03-15 00:00:00.000,Full,NaN,14000,51393010,19,NaN
67,Kuwait,2020-04-05 00:00:00,2020-02-25 00:00:00,2020-03-16 00:00:00.000,Partial,29.31166,8508000,NaN,NaN,NaN
68,Kyrgyzstan,2020-04-04 00:00:00,2020-03-19 00:00:00,2020-03-24 00:00:00.000,Partial,NaN,14000,6316000,25.3,NaN
69,Latvia,2020-04-04 00:00:00,2020-03-03 00:00:00,2020-03-13 00:00:00.000,Full,56.879635,1946000,NaN,42.5,24.603189
70,Lebanon,2020-03-11 00:00:00,2020-02-22 00:00:00,2020-03-16 00:00:00.000,Full,33.854721,1964000,6848925,28.5,35.862285
71,Liberia,2020-04-05 00:00:00,2020-03-17 00:00:00,2020-03-23 00:00:00.000,Partial,6.428055,14000,4818977,18.6,-9.429499
72,Libya,2020-04-03 00:00:00,2020-03-25 00:00:00,2020-03-22 00:00:00.000,Full,26.3351,14000,NaN,27.2,NaN
73,Lithuania,2020-03-22 00:00:00,2020-02-29 00:00:00,2020-03-16 00:00:00.000,Full,55.169438,2825000,NaN,NaN,23.881275
74,Luxembourg,2020-03-15 00:00:00,2020-03-01 00:00:00,2020-03-16 00:00:00.000,Full,49.815273,1018000,NaN,39.3,NaN
75,Malaysia,2020-03-18 00:00:00,2020-01-26 00:00:00,2020-03-18 00:00:00.000,Full,4.210484,25832000,31528585,NaN,101.975766
76,Mali,2020-03-30 00:00:00,2020-03-26 00:00:00,2020-03-18 00:00:00.000,,17.570692,14000,19077690,16,NaN
77,Malta,2020-04-09 00:00:00,2020-03-08 00:00:00,2020-03-12 00:00:00.000,Full,35.937496,2599000,NaN,40.9,14.375416
78,Mauritius,2020-03-22 00:00:00,2020-03-19 00:00:00,2020-03-17 00:00:00.000,Partial,NaN,1399000,NaN,35.6,57.552152
79,Mexico,2020-03-20 00:00:00,2020-02-29 00:00:00,2020-03-14 00:00:00.000,Partial,23.634501,41313000,126190788,27.5,-102.552784
80,Moldova,2020-03-19 00:00:00,2020-03-09 00:00:00,2020-03-11 00:00:00.000,,47.411631,160000,2706049,NaN,NaN
81,Monaco,2020-03-30 00:00:00,2020-03-01 00:00:00,2020-03-17 00:00:00.000,Full,43.750298,347000,NaN,37,7.412841
82,Montenegro,2020-03-24 00:00:00,2020-03-18 00:00:00,2020-03-24 00:00:00.000,Full,42.708678,2077000,NaN,37.7,NaN
83,Morocco,2020-03-11 00:00:00,2020-03-03 00:00:00,2020-03-16 00:00:00.000,Full,31.791702,12289000,36029138,27.9,-7.09262
84,Netherlands,2020-03-07 00:00:00,2020-02-28 00:00:00,2020-03-24 00:00:00.000,Full,NaN,18780000,NaN,42.1,NaN
85,New Zealand,2020-03-30 00:00:00,2020-02-29 00:00:00,2020-03-25 00:00:00.000,,NaN,3686000,4841000,37.3,NaN
86,Nigeria,2020-03-24 00:00:00,2020-02-29 00:00:00,2020-03-25 00:00:00.000,Full,NaN,14000,NaN,17.9,8.675277
87,North Macedonia,2020-03-23 00:00:00,2020-02-27 00:00:00,2020-03-18 00:00:00.000,Full,41.6086,707000,2082958,37,21.7453
88,Norway,2020-03-15 00:00:00,2020-02-27 00:00:00,2020-03-12 00:00:00.000,Full,NaN,5688000,NaN,39.2,8.468946
89,Oman,2020-04-01 00:00:00,2020-02-25 00:00:00,2020-03-29 00:00:00.000,Partial,21.512583,2301000,4829483,29,55.923255
90,Pakistan,2020-03-20 00:00:00,2020-02-27 00:00:00,2020-03-26 00:00:00.000,Full,30.375321,NaN,212215030,22.5,NaN
91,Panama,2020-03-12 00:00:00,2020-03-11 00:00:00,2020-03-25 00:00:00.000,,8.537981,1785000,4176873,28.4,-80.782127
92,Paraguay,2020-03-22 00:00:00,2020-03-09 00:00:00,2020-03-15 00:00:00.000,Partial,NaN,NaN,6956071,24.9,NaN
93,Peru,2020-03-21 00:00:00,2020-03-07 00:00:00,2020-03-10 00:00:00.000,Full,-9.189967,4419000,31989256,NaN,-75.015152
94,Philippines,2020-02-03 00:00:00,2020-01-31 00:00:00,2020-03-16 00:00:00.000,Partial,12.879721,7168000,NaN,24.1,121.774017
95,Poland,2020-03-13 00:00:00,2020-03-05 00:00:00,2020-03-12 00:00:00.000,Full,51.919438,19622000,37974750,39.7,19.145136
96,Portugal,2020-03-18 00:00:00,2020-03-03 00:00:00,2020-03-18 00:00:00.000,Full,39.399872,16186000,NaN,43.9,NaN
97,Qatar,2020-03-29 00:00:00,2020-03-01 00:00:00,2020-03-11 00:00:00.000,Full,25.354826,NaN,2781677,31.3,NaN
98,Romania,2020-03-23 00:00:00,2020-02-27 00:00:00,2020-03-25 00:00:00.000,Full,45.943161,11720000,19466145,41.3,24.96676
99,Russia,2020-03-20 00:00:00,2020-02-01 00:00:00,2020-03-27 00:00:00.000,Full,61.52401,NaN,144478050,38.7,NaN
100,San Marino,2020-03-04 00:00:00,2020-02-28 00:00:00,2020-03-09 00:00:00.000,Full,43.94236,84000,NaN,37,12.457777
101,Saudi Arabia,2020-03-25 00:00:00,2020-03-03 00:00:00,2020-03-15 00:00:00.000,Full,23.885942,15334000,33699947,NaN,45.079162
102,Senegal,2020-04-02 00:00:00,2020-03-03 00:00:00,2020-03-24 00:00:00.000,Partial,14.497401,14000,15854360,18.3,-14.452362
103,Serbia,2020-03-21 00:00:00,2020-03-07 00:00:00,2020-03-15 00:00:00.000,Full,44.016521,1711000,6982604,40,NaN
104,Sierra Leone,2020-04-24 00:00:00,2020-04-01 00:00:00,2020-05-05 00:00:00.000,Full,8.460555,57000,7650154,18.3,-11.779889
105,Singapore,2020-03-22 00:00:00,2020-01-24 00:00:00,2020-03-26 00:00:00.000,,1.352083,14673000,NaN,40,NaN
106,Slovakia,2020-03-19 00:00:00,2020-03-07 00:00:00,2020-03-09 00:00:00.000,Full,48.669026,NaN,5450000,39.2,NaN
107,Slovenia,2020-03-15 00:00:00,2020-03-06 00:00:00,2020-03-11 00:00:00.000,Full,46.151241,4425000,NaN,43,NaN
108,Somalia,2020-04-09 00:00:00,2020-03-17 00:00:00,2020-03-19 00:00:00.000,Full,5.152149,14000,15008154,16.5,NaN
109,South Africa,2020-03-28 00:00:00,2020-03-06 00:00:00,2020-03-26 00:00:00.000,Full,-30.559482,10472000,57779622,26.1,22.937506
110,Spain,2020-03-04 00:00:00,2020-02-02 00:00:00,2020-03-14 00:00:00.000,Full,40.463667,NaN,46796540,43.2,NaN
111,Sri Lanka,2020-03-29 00:00:00,2020-01-28 00:00:00,2020-03-21 00:00:00.000,,7.873054,2334000,NaN,32.3,NaN
113,Switzerland,2020-03-06 00:00:00,2020-02-26 00:00:00,2020-03-18 00:00:00.000,Full,46.818188,10362000,NaN,NaN,8.227512
114,Thailand,2020-03-02 00:00:00,2020-01-23 00:00:00,2020-03-22 00:00:00.000,Partial,NaN,NaN,69428524,37.8,NaN
115,Togo,2020-03-28 00:00:00,2020-03-07 00:00:00,2020-03-20 00:00:00.000,,8.619543,573000,NaN,18.9,0.824782
116,Trinidad and Tobago,2020-03-26 00:00:00,2020-03-15 00:00:00,2020-03-13 00:00:00.000,Full,10.691803,375000,1389858,NaN,NaN
117,Tunisia,2020-03-20 00:00:00,2020-03-05 00:00:00,2020-03-20 00:00:00.000,Full,33.886917,8299000,NaN,31.1,9.537499
118,Turkey,2020-03-18 00:00:00,2020-03-12 00:00:00,2020-03-23 00:00:00.000,Full,38.963745,45768000,NaN,29.9,NaN
120,Ukraine,2020-03-14 00:00:00,2020-03-04 00:00:00,2020-03-17 00:00:00.000,,NaN,NaN,44622516,40.3,31.16558
